path,type,license,license_confidence,source_url,chosen_path,roblox_import_notes,verification
Res/AnimController/AC_CharacterTemplate.controller,animation,Unity-EULA,high,https://www.codester.com/items/55926/bullethell-elemental-template-unity,rebuild,rebuilt natively in Roblox; nothing imported,n/a
Res/AnimController/Action_Dummy/Attack.anim,animation,Unity-EULA,high,https://www.codester.com/items/55926/bullethell-elemental-template-unity,rebuild,rebuilt natively in Roblox; nothing imported,n/a
Res/AnimController/Action_Dummy/Death.anim,animation,Unity-EULA,high,https://www.codester.com/items/55926/bullethell-elemental-template-unity,rebuild,rebuilt natively in Roblox; nothing imported,n/a
Res/AnimController/Action_Dummy/ReceiveDamage.anim,animation,Unity-EULA,high,https://www.codester.com/items/55926/bullethell-elemental-template-unity,rebuild,rebuilt natively in Roblox; nothing imported,n/a
Res/AnimController/Action_Dummy/Skill_0.anim,animation,Unity-EULA,high,https://www.codester.com/items/55926/bullethell-elemental-template-unity,rebuild,rebuilt natively in Roblox; nothing imported,n/a
Res/AnimController/Action_Dummy/Skill_1.anim,animation,Unity-EULA,high,https://www.codester.com/items/55926/bullethell-elemental-template-unity,rebuild,rebuilt natively in Roblox; nothing imported,n/a
Res/AnimController/Action_Dummy/Skill_2.anim,animation,Unity-EULA,high,https://www.codester.com/items/55926/bullethell-elemental-template-unity,rebuild,rebuilt natively in Roblox; nothing imported,n/a
Res/AnimController/Action_Dummy/Skill_3.anim,animation,Unity-EULA,high,https://www.codester.com/items/55926/bullethell-elemental-template-unity,rebuild,rebuilt natively in Roblox; nothing imported,n/a
Res/AnimController/Action_Dummy/Skill_4.anim,animation,Unity-EULA,high,https://www.codester.com/items/55926/bullethell-elemental-template-unity,rebuild,rebuilt natively in Roblox; nothing imported,n/a
Res/AnimController/Action_Dummy/Skill_5.anim,animation,Unity-EULA,high,https://www.codester.com/items/55926/bullethell-elemental-template-unity,rebuild,rebuilt natively in Roblox; nothing imported,n/a
Res/AnimController/Action_Dummy/Skill_6.anim,animation,Unity-EULA,high,https://www.codester.com/items/55926/bullethell-elemental-template-unity,rebuild,rebuilt natively in Roblox; nothing imported,n/a
Res/AnimController/HFSM_Generic.controller,animation,Unity-EULA,high,https://www.codester.com/items/55926/bullethell-elemental-template-unity,rebuild,rebuilt natively in Roblox; nothing imported,n/a
Res/AnimController/Idle_Dummy/Idle_E.anim,animation,Unity-EULA,high,https://www.codester.com/items/55926/bullethell-elemental-template-unity,rebuild,rebuilt natively in Roblox; nothing imported,n/a
Res/AnimController/Idle_Dummy/Idle_N.anim,animation,Unity-EULA,high,https://www.codester.com/items/55926/bullethell-elemental-template-unity,rebuild,rebuilt natively in Roblox; nothing imported,n/a
Res/AnimController/Idle_Dummy/Idle_NE.anim,animation,Unity-EULA,high,https://www.codester.com/items/55926/bullethell-elemental-template-unity,rebuild,rebuilt natively in Roblox; nothing imported,n/a
Res/AnimController/Idle_Dummy/Idle_NW.anim,animation,Unity-EULA,high,https://www.codester.com/items/55926/bullethell-elemental-template-unity,rebuild,rebuilt natively in Roblox; nothing imported,n/a
Res/AnimController/Idle_Dummy/Idle_S.anim,animation,Unity-EULA,high,https://www.codester.com/items/55926/bullethell-elemental-template-unity,rebuild,rebuilt natively in Roblox; nothing imported,n/a
Res/AnimController/Idle_Dummy/Idle_SE.anim,animation,Unity-EULA,high,https://www.codester.com/items/55926/bullethell-elemental-template-unity,rebuild,rebuilt natively in Roblox; nothing imported,n/a
Res/AnimController/Idle_Dummy/Idle_SW.anim,animation,Unity-EULA,high,https://www.codester.com/items/55926/bullethell-elemental-template-unity,rebuild,rebuilt natively in Roblox; nothing imported,n/a
Res/AnimController/Idle_Dummy/Idle_W.anim,animation,Unity-EULA,high,https://www.codester.com/items/55926/bullethell-elemental-template-unity,rebuild,rebuilt natively in Roblox; nothing imported,n/a
Res/AnimController/Legacy/CharacterController.controller,animation,Unity-EULA,high,https://www.codester.com/items/55926/bullethell-elemental-template-unity,rebuild,rebuilt natively in Roblox; nothing imported,n/a
Res/AnimController/Run_Dummy/Run_E.anim,animation,Unity-EULA,high,https://www.codester.com/items/55926/bullethell-elemental-template-unity,rebuild,rebuilt natively in Roblox; nothing imported,n/a
Res/AnimController/Run_Dummy/Run_N.anim,animation,Unity-EULA,high,https://www.codester.com/items/55926/bullethell-elemental-template-unity,rebuild,rebuilt natively in Roblox; nothing imported,n/a
Res/AnimController/Run_Dummy/Run_NE.anim,animation,Unity-EULA,high,https://www.codester.com/items/55926/bullethell-elemental-template-unity,rebuild,rebuilt natively in Roblox; nothing imported,n/a
Res/AnimController/Run_Dummy/Run_NW.anim,animation,Unity-EULA,high,https://www.codester.com/items/55926/bullethell-elemental-template-unity,rebuild,rebuilt natively in Roblox; nothing imported,n/a
Res/AnimController/Run_Dummy/Run_S.anim,animation,Unity-EULA,high,https://www.codester.com/items/55926/bullethell-elemental-template-unity,rebuild,rebuilt natively in Roblox; nothing imported,n/a
