path,type,format,size_bytes,poly_count,notes
Res/AnimController/AC_CharacterTemplate.controller,animation,controller,47528,n/a,
Res/AnimController/Action_Dummy/Attack.anim,animation,anim,1294,n/a,
Res/AnimController/Action_Dummy/Death.anim,animation,anim,1293,n/a,
Res/AnimController/Action_Dummy/ReceiveDamage.anim,animation,anim,1301,n/a,
Res/AnimController/Action_Dummy/Skill_0.anim,animation,anim,1295,n/a,
Res/AnimController/Action_Dummy/Skill_1.anim,animation,anim,1295,n/a,
Res/AnimController/Action_Dummy/Skill_2.anim,animation,anim,1295,n/a,
Res/AnimController/Action_Dummy/Skill_3.anim,animation,anim,1295,n/a,
Res/AnimController/Action_Dummy/Skill_4.anim,animation,anim,1295,n/a,
Res/AnimController/Action_Dummy/Skill_5.anim,animation,anim,1295,n/a,
Res/AnimController/Action_Dummy/Skill_6.anim,animation,anim,1295,n/a,
Res/AnimController/HFSM_Generic.controller,animation,controller,24520,n/a,
Res/AnimController/Idle_Dummy/Idle_E.anim,animation,anim,1294,n/a,
Res/AnimController/Idle_Dummy/Idle_N.anim,animation,anim,1294,n/a,
Res/AnimController/Idle_Dummy/Idle_NE.anim,animation,anim,1295,n/a,
Res/AnimController/Idle_Dummy/Idle_NW.anim,animation,anim,1295,n/a,
Res/AnimController/Idle_Dummy/Idle_S.anim,animation,anim,1294,n/a,
Res/AnimController/Idle_Dummy/Idle_SE.anim,animation,anim,1295,n/a,
Res/AnimController/Idle_Dummy/Idle_SW.anim,animation,anim,1295,n/a,
Res/AnimController/Idle_Dummy/Idle_W.anim,animation,anim,1294,n/a,
Res/AnimController/Legacy/CharacterController.controller,animation,controller,13292,n/a,
Res/AnimController/Run_Dummy/Run_E.anim,animation,anim,1293,n/a,
Res/AnimController/Run_Dummy/Run_N.anim,animation,anim,1293,n/a,
Res/AnimController/Run_Dummy/Run_NE.anim,animation,anim,1294,n/a,
Res/AnimController/Run_Dummy/Run_NW.anim,animation,anim,1294,n/a,
Res/AnimController/Run_Dummy/Run_S.anim,animation,anim,1293,n/a,
Res/AnimController/Run_Dummy/Run_SE.anim,animation,anim,1294,n/a,
Res/AnimController/Run_Dummy/Run_SW.anim,animation,anim,1294,n/a,
Res/AnimController/Run_Dummy/Run_W.anim,animation,anim,1293,n/a,
